,EntityName,EntityCategory,EntityReturnURL
,Animal Justice Party,Registered,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52600
,Australia First Party (NSW) Incorporated,Registered,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52479
,Australian Affordable Housing Party,Registered,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52606
,Australian Better Families,Registered,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52489
,Australian Christians,Registered,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52371
,Australian Citizens Party,Registered,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52297
,Australian Democrats,Registered,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52806
,Australian Federation Party,Registered,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52473
,Australian Federation Party Australian Capital Territory,Recognised Branch*,
,Australian Federation Party New South Wales,Recognised Branch*,
,Australian Federation Party Northern Territory,Recognised Branch*,
,Australian Federation Party Queensland,Recognised Branch*,
,Australian Federation Party South Australia,Recognised Branch*,
,Australian Federation Party Tasmania,Recognised Branch*,
,Australian Federation Party Victoria,Recognised Branch*,
,Australian Federation Party Western Australia,Recognised Branch*,
,Australian Greens,Registered,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52510
,Australian Greens (South Australia),Recognised Branch*,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52502
,"Australian Greens, Australian Capital Territory Branch",Recognised Branch*,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52737
,"Australian Greens, Northern Territory Branch",Recognised Branch*,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52617
,"Australian Greens, Tasmanian Branch",Recognised Branch*,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52591
,Australian Labor Party (ACT Branch),Registered,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52500
,Australian Labor Party (ALP),Registered,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52948
,Australian Labor Party (N.S.W. Branch),Registered,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52363
,Australian Labor Party (Northern Territory) Branch,Registered,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52645
,Australian Labor Party (South Australian Branch),Registered,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52684
,Australian Labor Party (State of Queensland),Registered,https://transparency.aec.gov.au/AnnualPoliticalParty/ReturnDetail?returnId=52639
